name,type,value,date
天津,,69,2020-02-05
河北,,157,2020-02-05
山西,,90,2020-02-05
内蒙古,,46,2020-02-05
辽宁,,89,2020-02-05
吉林,,59,2020-02-05
黑龙江,,227,2020-02-05
上海,,254,2020-02-05
江苏,,373,2020-02-05
浙江,,954,2020-02-05
安徽,,591,2020-02-05
福建,,215,2020-02-05
江西,,600,2020-02-05
山东,,343,2020-02-05
河南,,851,2020-02-05
湖北,,19665,2020-02-05
湖南,,711,2020-02-05
广东,,944,2020-02-05
广西,,168,2020-02-05
海南,,100,2020-02-05
重庆,,389,2020-02-05
四川,,321,2020-02-05
贵州,,69,2020-02-05
云南,,128,2020-02-05
西藏,,1,2020-02-05
陕西,,165,2020-02-05
甘肃,,62,2020-02-05
青海,,18,2020-02-05
宁夏,,40,2020-02-05
新疆,,36,2020-02-05
中国香港,,21,2020-02-05
中国澳门,,10,2020-02-05
中国台湾,,11,2020-02-05
北京,,297,2020-02-06
天津,,79,2020-02-06
河北,,171,2020-02-06
山西,,96,2020-02-06
内蒙古,,50,2020-02-06
辽宁,,94,2020-02-06
吉林,,65,2020-02-06
黑龙江,,276,2020-02-06
上海,,269,2020-02-06
江苏,,408,2020-02-06
浙江,,1006,2020-02-06
安徽,,665,2020-02-06
福建,,224,2020-02-06
江西,,661,2020-02-06
山东,,379,2020-02-06
河南,,914,2020-02-06
湖北,,22112,2020-02-06
湖南,,772,2020-02-06
广东,,1018,2020-02-06
广西,,172,2020-02-06
海南,,111,2020-02-06
重庆,,411,2020-02-06
四川,,344,2020-02-06
贵州,,77,2020-02-06
云南,,135,2020-02-06
西藏,,1,2020-02-06
陕西,,173,2020-02-06
甘肃,,67,2020-02-06
青海,,18,2020-02-06
宁夏,,43,2020-02-06
新疆,,39,2020-02-06
中国香港,,24,2020-02-06
中国澳门,,10,2020-02-06
中国台湾,,16,2020-02-06
北京,,315,2020-02-07
天津,,81,2020-02-07
河北,,195,2020-02-07
山西,,104,2020-02-07
内蒙古,,52,2020-02-07
辽宁,,99,2020-02-07
吉林,,69,2020-02-07
黑龙江,,281,2020-02-07
上海,,281,2020-02-07
江苏,,439,2020-02-07
浙江,,1048,2020-02-07
安徽,,733,2020-02-07
福建,,239,2020-02-07
江西,,698,2020-02-07
山东,,407,2020-02-07
河南,,980,2020-02-07
湖北,,24953,2020-02-07
湖南,,803,2020-02-07
广东,,1075,2020-02-07
广西,,183,2020-02-07
海南,,123,2020-02-07
重庆,,426,2020-02-07
四川,,363,2020-02-07
贵州,,89,2020-02-07
云南,,138,2020-02-07
西藏,,1,2020-02-07
陕西,,184,2020-02-07
甘肃,,71,2020-02-07
青海,,18,2020-02-07
宁夏,,44,2020-02-07
新疆,,42,2020-02-07
中国香港,,26,2020-02-07
中国澳门,,10,2020-02-07
中国台湾,,16,2020-02-07
北京,,326,2020-02-08
天津,,88,2020-02-08
河北,,206,2020-02-08
山西,,115,2020-02-08
内蒙古,,54,2020-02-08
辽宁,,105,2020-02-08
吉林,,78,2020-02-08
黑龙江,,307,2020-02-08
上海,,292,2020-02-08
江苏,,468,2020-02-08
浙江,,1075,2020-02-08
安徽,,779,2020-02-08
福建,,250,2020-02-08
江西,,739,2020-02-08
山东,,435,2020-02-08
河南,,1033,2020-02-08
湖北,,27013,2020-02-08
湖南,,838,2020-02-08
广东,,1120,2020-02-08
广西,,195,2020-02-08
海南,,128,2020-02-08
重庆,,446,2020-02-08
四川,,386,2020-02-08
贵州,,96,2020-02-08
云南,,140,2020-02-08
西藏,,1,2020-02-08
陕西,,195,2020-02-08
甘肃,,79,2020-02-08
青海,,18,2020-02-08
宁夏,,45,2020-02-08
新疆,,45,2020-02-08
中国香港,,26,2020-02-08
中国澳门,,10,2020-02-08
中国台湾,,17,2020-02-08
北京,,337,2020-02-09
天津,,91,2020-02-09
河北,,218,2020-02-09
山西,,119,2020-02-09
内蒙古,,58,2020-02-09
辽宁,,107,2020-02-09
吉林,,80,2020-02-09
黑龙江,,331,2020-02-09
上海,,295,2020-02-09
江苏,,492,2020-02-09
浙江,,1092,2020-02-09
安徽,,830,2020-02-09
福建,,261,2020-02-09
江西,,772,2020-02-09
山东,,459,2020-02-09
河南,,1073,2020-02-09
湖北,,29631,2020-02-09
湖南,,879,2020-02-09
广东,,1151,2020-02-09
广西,,210,2020-02-09
海南,,136,2020-02-09
重庆,,468,2020-02-09
四川,,405,2020-02-09
贵州,,109,2020-02-09
云南,,141,2020-02-09
西藏,,1,2020-02-09
陕西,,208,2020-02-09
甘肃,,83,2020-02-09
青海,,18,2020-02-09
宁夏,,49,2020-02-09
新疆,,49,2020-02-09
中国香港,,36,2020-02-09
中国澳门,,10,2020-02-09
中国台湾,,18,2020-02-09
北京,,342,2020-02-10
天津,,95,2020-02-10
河北,,239,2020-02-10
山西,,122,2020-02-10
内蒙古,,58,2020-02-10
辽宁,,108,2020-02-10
吉林,,81,2020-02-10
黑龙江,,360,2020-02-10
上海,,302,2020-02-10
江苏,,515,2020-02-10
浙江,,1117,2020-02-10
安徽,,859,2020-02-10
福建,,267,2020-02-10
江西,,804,2020-02-10
山东,,486,2020-02-10
河南,,1105,2020-02-10
湖北,,31728,2020-02-10
湖南,,912,2020-02-10
